"ID";"$/レベル";"経験値テーブル";"攻撃力テーブル";"防御力テーブル";"武器力係数テーブル";"防具力係数テーブル";"最大HPテーブル"
1003;"テイ";0;0;0;0;0;0
;1;10;4.8;0;15.6;25;24
;2;30;6.4;0;16.2;29;32
;3;60;8;0;16.8;32.5;40
;4;100;9.6;0;17.4;35.5;48
;5;150;11.2;0;18;38;56
;6;230;12.8;0;18.6;40;64
;7;350;14.4;0;19.2;41.5;72
;8;500;16;0;19.8;43;80
;9;700;17.6;0;20.4;44;88
;10;950;19.2;0;21;44.5;96
;11;1200;20.8;0;21.6;45;104
;12;1450;22.4;0;22.2;45.5;112
;13;1750;24;0;22.8;46;120
;14;2100;24.8;0;23.4;46.5;128
;15;2500;25.6;0;24;47;136
;16;3000;26.4;0;24.6;47.5;144
;17;3500;27.2;0;25.2;48;152
;18;4200;28;0;25.8;48.5;160
;19;5000;28.8;0;26.4;49;168
;20;6000;29.6;0;27;49.5;176
;21;7000;30.4;0;27.6;50;184
;22;8000;31.2;0;28.2;50;192
;23;9500;32;0;28.8;50;200
;24;11000;32.8;0;29.4;50;208
;25;12500;33.6;0;30;50;216
;26;14500;34.4;0;30.6;50;224
;27;17500;35.2;0;31.2;50;232
;28;22000;36;0;31.8;50;240
;29;30000;36.8;0;32.4;50;248
;30;40000;37.6;0;33;50;256
;31;50000;38.4;0;33.6;50;264
;32;65000;39.2;0;34.2;50;272
;33;80000;40;0;34.8;50;280
;34;100000;40.8;0;35.4;50;288
;35;120000;41.6;0;36;50;296
;36;140000;42.4;0;36.6;50;304
;37;170000;43.2;0;37.2;50;312
;38;200000;44;0;37.8;50;320
;39;230000;44.8;0;38.4;50;328
;40;260000;45.6;0;39;50;336
;41;300000;46.4;0;39.6;50;344
;42;340000;47.2;0;40.2;50;352
;43;380000;48;0;40.8;50;360
;44;420000;48.8;0;41.4;50;368
;45;460000;49.6;0;42;50;376
;46;500000;50.4;0;42.6;50;384
;47;550000;51.2;0;43.2;50;392
;48;600000;52;0;43.8;50;400
;49;650000;52.8;0;44.4;50;408
;50;700000;53.6;0;45;50;416
;51;750000;54.4;0;45.6;50;424
;52;800000;55.2;0;46.2;50;432
;53;850000;56;0;46.8;50;440
;54;900000;56.8;0;47.4;50;448
;55;950000;57.6;0;48;50;456
;56;1000000;58.4;0;48.6;50;464
;57;1060000;59.2;0;49.2;50;472
;58;1120000;60;0;49.8;50;480
;59;1180000;60.8;0;50.4;50;488
;60;1240000;61.6;0;51;50;496
;61;1300000;62.4;0;51.6;50;504
;62;1360000;63.2;0;52.2;50;512
;63;1420000;64;0;52.8;50;520
;64;1480000;64.8;0;53.4;50;528
;65;1540000;65.6;0;54;50;536
;66;1600000;66.4;0;54.6;50;544
;67;1660000;67.2;0;55.2;50;552
;68;1720000;68;0;55.8;50;560
;69;1780000;68.8;0;56.4;50;568
;70;1840000;69.6;0;57;50;576
;71;1900000;70.4;0;57.6;50;584
;72;1960000;71.2;0;58.2;50;592
;73;2030000;72;0;58.8;50;600
;74;2100000;72.8;0;59.4;50;608
;75;2170000;73.6;0;60;50;616
;76;2240000;74.4;0;60.6;50;624
;77;2310000;75.2;0;61.2;50;632
;78;2380000;76;0;61.8;50;640
;79;2450000;76.8;0;62.4;50;648
;80;2520000;77.6;0;63;50;656
;81;2590000;78.4;0;63.6;50;664
;82;2660000;79.2;0;64.2;50;672
;83;2730000;80;0;64.8;50;680
;84;2800000;80.8;0;65.4;50;688
;85;2870000;81.6;0;66;50;696
;86;2940000;82.4;0;66.6;50;704
;87;3010000;83.2;0;67.2;50;712
;88;3080000;84;0;67.8;50;720
;89;3150000;84.8;0;68.4;50;728
;90;3220000;85.6;0;69;50;736
;91;3290000;86.4;0;69.6;50;744
;92;3360000;87.2;0;70.2;50;752
;93;3430000;88;0;70.8;50;760
;94;3500000;88.8;0;71.4;50;768
;95;3570000;89.6;0;72;50;776
;96;3640000;90.4;0;72.6;50;784
;97;3710000;91.2;0;73.2;50;792
;98;3780000;92;0;73.8;50;800
;99;4000000;92.8;0;74.4;50;808
;100;2000000000;93.6;0;75;52.5;832
