"intro.id",,,
,,,
"introSelfIntro","美鈴","＿よっ","(ブラックアウトからのフェードイン)"
,,"ほっ",
,,,
,,"_はっ",
,,"ほっ",
,,,
,,"・・・ふう",
,,,
,,"今日もよく晴れて、門番日和に修行日和ですね！",
,,"心身ともに鍛えてこそ、最強の門番たれるというものです！",
,,,
,,"そう、私の名は紅美鈴！",
,,"最強無欠の門番とは私のこと！",
,,"紅魔館には何人たりとも入らせません！",
,,,
,"悪い妖精","ぎゃおー　たーべちゃうぞー",
,,,
,"美鈴","むっ！",
,,"早速敵襲ですね！",
,,,
,,"この自慢の拳でコテンパンにしてあげましょう！",
,,"<cdNOTICE>十字キーで移動して敵に近づいて、</cdNOTICE>",
,,"<cdNOTICE>攻撃ボタン(Aキー)</cdNOTICE>で攻撃ですよ！",
,,,
,,,"(無事やっつける)"
,,,
,,,
"introItemUse","美鈴","ふっ",
,,"他愛もないですね",
,,,
,"モケ","ぎゃおー　たーべちゃうぞー",
,,,
,"エレム","ぎゃおー　たーべちゃうぞー",
,,,
,"ベンベ","ぎゃおー　たーべちゃうぞー",
,,,
,"美鈴","なんと！　後続がこんなにも！",
,,"これは、太歳星君の差し金か！？",
,,"しかしこれでは、多勢に無勢！",
,,,
,,,"（薬が出る）"
,,,
"introItemUse1","美鈴","おお、こんなところに都合よくアイテムが！",
,,,
,,"周りにあるものは、イスだろうとハンガーだろうとなんでも使う。",
,,"そうでなくては真の達人とは言えません。",
,,"ありがたく使わせてもらいましょう！",
,,,
,,,"(やっつける)"
,,,
"introBattleAlice","美鈴","なんとか倒しましたね！",
,,,
,,"しかし、こんなにも急に大量の刺客を送り込んでくるとは・・・",
,,,
,,"こうなったら私が迎え撃つしかない！",
,,"太歳星君は災禍をもたらす妖怪を、もっともっと",
,,"送り込んでくる筈よ！",
,,,
,"アリス","図書館に行きたいんだけど案内してくれる？",
,,,
,"美鈴","む！",
,,"早速現れたわね！",
,,,
,"アリス","何よ。",
,,"私はただ図書館に行きたいだけ",
,,,
,"美鈴","ふふふ。私には全て判っている。",
,,"お前は――",
,,"お前は太歳星君が差し向けた妖怪だ！",
,,,
,"アリス（？）","あっはっは！",
,,"流石は紅魔館の門番ね！",
,,"この仮の姿、一発で見抜くとは！",
,,,
,,,"（やっつける）"
,,,
,,,
"introEndEvent","美鈴","危なかった。",
,,"この様な形で攻めてくるとは恐ろしい・・・",
,,,
,,"これだけで終わるとは思えない。",
,,"まだまだ迎え撃ってやる！",
,,,
,"？？？","美鈴・・・",
,,,
,"美鈴","む！",
,,"新手か！？",
,,,
,"？？？","美鈴・・・美鈴・・・",
,,,
,"美鈴","どこだ、どこにいる！",
,,"隠れてないで、出て来い！",
,,,
,"？？？","美鈴・・・",
,,"起きて・・・起きて・・・",
,,,
,,"まったく・・・","この発言後に、ブラックアウト"
,,,
,,,
,,,
"introEndEvent1",,"起きなさい！！！",
,,,
"名前にシステムが表示されない、「」が出ないテスト","システム","いよー！",
,,,
"名前にシステムが表示される、「」が出ないテスト","_system","ちゃちゃちゃ！",
,,,
"「」が出ず、()が出るテスト","ほげ","(ちゃちゃちゃ！)",
,,,
"「」が出ないテスト",,"_ちゃちゃちゃ！",
,,,
"「」が一部に出るテスト",,"「っは！」テスト",
,,,
"引数コマンドテスト",,"test<cdNOTICE>強調文</cdNOTICE>何もなし<sx2><sy2>2倍</sy2></sx2>",
,,,
"文字列コマンドテスト",,"test<Item/>これでどう？",
,,,
"文字列コマンドテスト２",,"test<cdNOTICE>強調文test<Item/>これでどう？</cdNOTICE>何もなし<sx2><sy2>2倍</sy2></sx2>",
,,,
"引数コマンドテスト2",,"何もなし<Item_outside1/><sx2>sx2内部<Item_sx2/><sy2>sy2内部<Item_sy2_1/>間テスト<Item2_sy2_2/></sy2>ほげほげ</sx2><Item_outside2/>どうでしょ？",
